Page,Error Count
0488.txt,67
0489.txt,59
0492.txt,50
0493.txt,30
0494.txt,65
0495.txt,70
0496.txt,34
0497.txt,43
0498.txt,48
0500.txt,47
0501.txt,41
0502.txt,46
0503.txt,53
0504.txt,51
0505.txt,50
0506.txt,69
0507.txt,45
0509.txt,44
0510.txt,45
0511.txt,32
0512.txt,54
0513.txt,46
0514.txt,58
0516.txt,39
0517.txt,46
0520.txt,61
0521.txt,46
0524.txt,38
0525.txt,61
0526.txt,65
0530.txt,50
0531.txt,51
0532.txt,54
0533.txt,49
0534.txt,56
0535.txt,41
0536.txt,48
0537.txt,39
0538.txt,37
0539.txt,60
0540.txt,56
0541.txt,42
0543.txt,40
0544.txt,49
0545.txt,40
0546.txt,58
0547.txt,44
0548.txt,63
0549.txt,48
0550.txt,76
0551.txt,65
0552.txt,53
0554.txt,44
0555.txt,69
0558.txt,62
0559.txt,61
0560.txt,37
0562.txt,60
0563.txt,68
0564.txt,40
0565.txt,31
0566.txt,63
0567.txt,53
0570.txt,66
0571.txt,56
0572.txt,54
0573.txt,51
0576.txt,51
0577.txt,47
0579.txt,63
0580.txt,64
0581.txt,50
0582.txt,61
0583.txt,66
0584.txt,53
0586.txt,59
0587.txt,63
0590.txt,66
0591.txt,72
0592.txt,51
0593.txt,53
0594.txt,55
0595.txt,59
0596.txt,51
0597.txt,56
0600.txt,54
0601.txt,49
0602.txt,51
0603.txt,60
0604.txt,51
0606.txt,56
0607.txt,44
0608.txt,63
0609.txt,55
0610.txt,45
0611.txt,46
0612.txt,58
0613.txt,45
0614.txt,58
0615.txt,32
0616.txt,53
0617.txt,52
0618.txt,59
0619.txt,53
0621.txt,55
0622.txt,52
0623.txt,54
0626.txt,59
0627.txt,43
0629.txt,54
0630.txt,71
0631.txt,56
0632.txt,52
0634.txt,63
0635.txt,63
0636.txt,46
0637.txt,68
0638.txt,51
0639.txt,29
0640.txt,56
0641.txt,59
0642.txt,67
0644.txt,43
0645.txt,43
0648.txt,55
0649.txt,52
0650.txt,55
0651.txt,12
0653.txt,56
0654.txt,58
0655.txt,67
0656.txt,74
0657.txt,66
0658.txt,67
0659.txt,47
0660.txt,63
0661.txt,53
0662.txt,65
0663.txt,61
0664.txt,56
0666.txt,69
0667.txt,88
0668.txt,72
0669.txt,55
0670.txt,65
0671.txt,75
0672.txt,54
0673.txt,51
0674.txt,56
0675.txt,61
0676.txt,74
0677.txt,70
0678.txt,76
0679.txt,62
0680.txt,52
0681.txt,66
0683.txt,60
0684.txt,67
0685.txt,72
0686.txt,67
0687.txt,79
0688.txt,78
0689.txt,73
0690.txt,67
0691.txt,82
0692.txt,57
0693.txt,81
0694.txt,72
0695.txt,60
0696.txt,58
0697.txt,67
0698.txt,67
0699.txt,55
0700.txt,49
0701.txt,54
0702.txt,59
0703.txt,56
0704.txt,50
0706.txt,57
0707.txt,57
0708.txt,62
0709.txt,54
0710.txt,56
0711.txt,57
