abgefaffet : ['bub_gb_MbxYAAAAcAAJ_0456.txt', 'line 89', 1]
abgefaget : ['bub_gb_MbxYAAAAcAAJ_0702.txt', 'line 110', 1]
abgefal : ['bub_gb_MbxYAAAAcAAJ_0603.txt', 'line 29', 1]
abgefaulet : ['bub_gb_MbxYAAAAcAAJ_0537.txt', 'line 115', 1]
abgefehen : ['bub_gb_MbxYAAAAcAAJ_0066.txt', 'line 96', 1]
abgefeßet : ['bub_gb_MbxYAAAAcAAJ_0710.txt', 'line 80', 3]
abgefodert : ['bub_gb_MbxYAAAAcAAJ_0892.txt', 'line 22', 2]
abgefondert : ['bub_gb_MbxYAAAAcAAJ_0181.txt', 'line 65', 1]
abgefos : ['bub_gb_MbxYAAAAcAAJ_0686.txt', 'line 101', 1]
abgefres : ['bub_gb_MbxYAAAAcAAJ_0431.txt', 'line 65', 1]
abgefungen : ['bub_gb_MbxYAAAAcAAJ_0457.txt', 'line 111', 1]
abgefäget : ['bub_gb_MbxYAAAAcAAJ_0702.txt', 'line 80', 3]
abgegan : ['bub_gb_MbxYAAAAcAAJ_0621.txt', 'line 46', 1]
abgehals : ['bub_gb_MbxYAAAAcAAJ_0707.txt', 'line 27', 1]
abgehendenden : ['bub_gb_MbxYAAAAcAAJ_0671.txt', 'line 35', 1]
abgeholffenenübel : ['bub_gb_MbxYAAAAcAAJ_0079.txt', 'line 85', 1]
abgehäuteten : ['bub_gb_MbxYAAAAcAAJ_0572.txt', 'line 101', 1]
abgeirrete : ['bub_gb_MbxYAAAAcAAJ_0899.txt', 'line 114', 1]
abgekochet : ['bub_gb_MbxYAAAAcAAJ_0157.txt', 'line 123', 1]
abgekündig : ['bub_gb_MbxYAAAAcAAJ_0776.txt', 'line 2', 1]
abgekündis : ['bub_gb_MbxYAAAAcAAJ_0902.txt', 'line 41', 1]
abgekürzet : ['bub_gb_MbxYAAAAcAAJ_0746.txt', 'line 10', 1]
abgelassenesend : ['bub_gb_MbxYAAAAcAAJ_0897.txt', 'line 110', 1]
abgelauffenen : ['bub_gb_MbxYAAAAcAAJ_0246.txt', 'line 34', 1]
abgeld : ['bub_gb_MbxYAAAAcAAJ_0826.txt', 'line 115', 1]
abgeldset : ['bub_gb_MbxYAAAAcAAJ_0048.txt', 'line 78', 3]
abgeleb : ['bub_gb_MbxYAAAAcAAJ_0648.txt', 'line 76', 1]
abgeleget : ['bub_gb_MbxYAAAAcAAJ_0893.txt', 'line 124', 14]
abgeleses : ['bub_gb_MbxYAAAAcAAJ_0749.txt', 'line 21', 1]
abgelöset : ['bub_gb_MbxYAAAAcAAJ_0662.txt', 'line 7', 4]
abgemablet : ['bub_gb_MbxYAAAAcAAJ_0551.txt', 'line 95', 1]
abgemachet : ['bub_gb_MbxYAAAAcAAJ_0373.txt', 'line 40', 1]
abgemahlet : ['bub_gb_MbxYAAAAcAAJ_0463.txt', 'line 28', 5]
abgemähet : ['bub_gb_MbxYAAAAcAAJ_0276.txt', 'line 10', 1]
abgenom : ['bub_gb_MbxYAAAAcAAJ_0118.txt', 'line 5', 1]
abgenomen : ['bub_gb_MbxYAAAAcAAJ_0386.txt', 'line 7', 2]
abgenoms : ['bub_gb_MbxYAAAAcAAJ_0852.txt', 'line 23', 1]
abgenuss : ['bub_gb_MbxYAAAAcAAJ_0517.txt', 'line 36', 1]
abgereifet : ['bub_gb_MbxYAAAAcAAJ_0888.txt', 'line 13', 1]
abgerupffet : ['bub_gb_MbxYAAAAcAAJ_0221.txt', 'line 68', 2]
abgeräumet : ['bub_gb_MbxYAAAAcAAJ_0776.txt', 'line 70', 1]
abges : ['bub_gb_MbxYAAAAcAAJ_0663.txt', 'line 5', 33]
abgesammlete : ['bub_gb_MbxYAAAAcAAJ_0325.txt', 'line 59', 1]
abgeschalet : ['bub_gb_MbxYAAAAcAAJ_0306.txt', 'line 23', 1]
