aist : ['33.txt', 'line 81', 5]
ajunties : ['33.txt', 'line 54', 1]
akalte : ['19.txt', 'line 89', 1]
akirche : ['36.txt', 'line 104', 1]
akirchen : ['37.txt', 'line 5', 1]
akohl : ['37.txt', 'line 117', 1]
akönnen : ['31.txt', 'line 3', 2]
akühe : ['02.txt', 'line 3', 1]
alassen : ['49.txt', 'line 101', 1]
albrücken : ['02.txt', 'line 3', 1]
albſing : ['01.txt', 'line 51', 1]
alezaum : ['01.txt', 'line 66', 1]
alieben : ['28.txt', 'line 32', 1]
aliegen : ['61.txt', 'line 132', 1]
alleauctorität : ['62.txt', 'line 42', 1]
allechristen : ['29.txt', 'line 56', 1]
allegewächse : ['66.txt', 'line 21', 1]
allenauctionen : ['35.txt', 'line 97', 1]
allenthal : ['27.txt', 'line 84', 1]
allerebellion : ['42.txt', 'line 116', 1]
allernachlassenschafft : ['02.txt', 'line 3', 1]
allerschwehrste : ['63.txt', 'line 120', 1]
alleschiffe : ['02.txt', 'line 3', 1]
allett : ['01.txt', 'line 90', 1]
alleverlobte : ['13.txt', 'line 4', 1]
allewieder : ['40.txt', 'line 16', 1]
allezeitbey : ['73.txt', 'line 31', 1]
allezeitunter : ['50.txt', 'line 95', 1]
allgemeinebeschwehrung : ['58.txt', 'line 65', 1]
allianen : ['05.txt', 'line 37', 1]
alliiren : ['32.txt', 'line 29', 1]
alliirte : ['28.txt', 'line 30', 1]
alnusrotundisolia : ['02.txt', 'line 3', 1]
alsbrod : ['58.txt', 'line 3', 1]
alsbürgern : ['51.txt', 'line 10', 1]
alsobaldnachricht : ['29.txt', 'line 39', 1]
alsogenennet : ['68.txt', 'line 54', 1]
alsvocaliter : ['31.txt', 'line 29', 1]
altenafricanis : ['28.txt', 'line 105', 1]
alteneinwohner : ['11.txt', 'line 38', 1]
amacht : ['27.txt', 'line 58', 1]
amandelnessen : ['73.txt', 'line 39', 1]
amaqua : ['02.txt', 'line 7', 1]
amarmallade : ['43.txt', 'line 5', 1]
amaul : ['43.txt', 'line 44', 1]
amcado : ['45.txt', 'line 17', 1]
amcago : ['65.txt', 'line 50', 1]
amcano : ['09.txt', 'line 117', 1]
amcapo : ['19.txt', 'line 17', 15]
ameer : ['43.txt', 'line 96', 2]
ameisters : ['26.txt', 'line 47', 1]
amentha : ['43.txt', 'line 139', 1]
americanische : ['19.txt', 'line 15', 2]
americanz : ['01.txt', 'line 72', 1]
amespilus : ['43.txt', 'line 143', 1]
ameyhauffen : ['67.txt', 'line 22', 1]
ameysen : ['18.txt', 'line 23', 1]
amilch : ['44.txt', 'line 10', 1]
ammerckliche : ['29.txt', 'line 13', 1]
ammunitions : ['68.txt', 'line 69', 1]
ammuthige : ['66.txt', 'line 16', 1]
amnöthigsten : ['20.txt', 'line 98', 1]
amonat : ['44.txt', 'line 55', 1]
amsterdaman : ['05.txt', 'line 8', 1]
amtinger : ['01.txt', 'line 51', 1]
amuß : ['26.txt', 'line 65', 3]
amögen : ['72.txt', 'line 50', 1]
amühlsteine : ['44.txt', 'line 105', 1]
amüssen : ['47.txt', 'line 70', 3]
anachgeburt : ['45.txt', 'line 50', 1]
anachlässigkeit : ['45.txt', 'line 59', 1]
anachricht : ['69.txt', 'line 92', 1]
anbißen : ['03.txt', 'line 7', 1]
anderekrancke : ['60.txt', 'line 53', 1]
anderessen : ['72.txt', 'line 3', 1]
andernnicht : ['61.txt', 'line 39', 1]
andernpflantzen : ['72.txt', 'line 82', 1]
andernschrifften : ['59.txt', 'line 69', 1]
andernungemach : ['36.txt', 'line 81', 1]
andorie : ['01.txt', 'line 53', 1]
andoriz : ['01.txt', 'line 60', 1]
aneiner : ['29.txt', 'line 62', 1]
anemoni : ['29.txt', 'line 49', 1]
anemospermos : ['03.txt', 'line 19', 1]
angebauet : ['40.txt', 'line 42', 1]
angebisset : ['09.txt', 'line 22', 1]
angebohrnes : ['57.txt', 'line 101', 1]
angefal : ['12.txt', 'line 103', 1]
angegrif : ['03.txt', 'line 43', 1]
angein : ['59.txt', 'line 48', 1]
angekün : ['62.txt', 'line 71', 1]
angeleget : ['21.txt', 'line 94', 3]
angerühret : ['67.txt', 'line 69', 1]
angesaget : ['23.txt', 'line 3', 1]
angeschigen : ['42.txt', 'line 118', 1]
angesehenseyn : ['62.txt', 'line 47', 1]
angesetzet : ['49.txt', 'line 75', 1]
angesprochenwerden : ['68.txt', 'line 7', 1]
angethanwarum : ['11.txt', 'line 67', 1]
angreiffet : ['09.txt', 'line 88', 1]
anhaltendensüd : ['33.txt', 'line 86', 1]
anhetzers : ['80.txt', 'line 23', 1]
animmt : ['01.txt', 'line 44', 1]
anjetzo : ['13.txt', 'line 16', 1]
ankom : ['53.txt', 'line 82', 2]
anmuthig : ['71.txt', 'line 74', 2]
anmüthig : ['25.txt', 'line 110', 1]
annehmers : ['80.txt', 'line 7', 1]
anrathen : ['40.txt', 'line 26', 1]
anschläget : ['43.txt', 'line 78', 1]
ansetzers : ['80.txt', 'line 23', 1]
anspeyet : ['74.txt', 'line 43', 1]
anstant : ['79.txt', 'line 16', 1]
anstat : ['79.txt', 'line 54', 1]
anstattdes : ['53.txt', 'line 97', 1]
anstattdicker : ['78.txt', 'line 28', 1]
anstatthaben : ['77.txt', 'line 33', 1]
anstatthervor : ['77.txt', 'line 68', 1]
anstattnagros : ['79.txt', 'line 24', 1]
anthun : ['44.txt', 'line 118', 2]
anſuchungenlahl : ['01.txt', 'line 22', 1]
aober : ['02.txt', 'line 3', 1]
aofficianten : ['47.txt', 'line 37', 1]
aohne : ['19.txt', 'line 109', 1]
apager : ['48.txt', 'line 6', 1]
apeterselinum : ['48.txt', 'line 96', 1]
apffelbaum : ['03.txt', 'line 50', 1]
aphylis : ['78.txt', 'line 44', 1]
aphyllis : ['78.txt', 'line 44', 1]
aphylo : ['78.txt', 'line 48', 1]
appeliren : ['26.txt', 'line 75', 1]
appelliren : ['35.txt', 'line 26', 2]
apricosenund : ['12.txt', 'line 41', 1]
arack : ['03.txt', 'line 69', 2]
arbeitals : ['72.txt', 'line 57', 1]
arbeitbrauchen : ['03.txt', 'line 67', 1]
arcka : ['79.txt', 'line 54', 1]
arecku : ['79.txt', 'line 54', 1]
arembruck : ['17.txt', 'line 67', 1]
argyrodentros : ['03.txt', 'line 72', 1]
ariar : ['05.txt', 'line 122', 1]
arosbranco : ['21.txt', 'line 52', 1]
arressgelassen : ['65.txt', 'line 42', 1]
artenspecificiret : ['23.txt', 'line 84', 1]
artguter : ['78.txt', 'line 3', 1]
artigeinscription : ['13.txt', 'line 31', 1]
arums : ['72.txt', 'line 7', 1]
arzney : ['32.txt', 'line 55', 1]
arzneywovor : ['32.txt', 'line 57', 1]
asalt : ['61.txt', 'line 55', 1]
asaltz : ['55.txt', 'line 50', 1]
ascensan : ['55.txt', 'line 64', 2]
ascepias : ['03.txt', 'line 102', 1]
aschantz : ['56.txt', 'line 30', 1]
ascheinet : ['02.txt', 'line 9', 1]
aschiff : ['56.txt', 'line 98', 1]
aschlobben : ['58.txt', 'line 28', 1]
aschläget : ['68.txt', 'line 47', 1]
aschmiede : ['58.txt', 'line 34', 1]
aschnupffen : ['58.txt', 'line 65', 1]
aschuhe : ['58.txt', 'line 98', 1]
asideroxylum : ['60.txt', 'line 43', 1]
asind : ['30.txt', 'line 77', 4]
asolches : ['62.txt', 'line 61', 1]
asommer : ['61.txt', 'line 4', 1]
aspindel : ['61.txt', 'line 53', 1]
asricanum : ['61.txt', 'line 98', 1]
assenburgauf : ['04.txt', 'line 80', 1]
assenburgsuccediret : ['12.txt', 'line 49', 1]
astein : ['61.txt', 'line 121', 1]
astero : ['03.txt', 'line 124', 1]
astreit : ['63.txt', 'line 91', 1]
astronomich : ['03.txt', 'line 128', 1]
asüd : ['64.txt', 'line 5', 1]
atacharte : ['02.txt', 'line 3', 1]
atacharts : ['28.txt', 'line 81', 1]
atanacetum : ['65.txt', 'line 13', 1]
ateuffels : ['65.txt', 'line 96', 1]
athibaulc : ['66.txt', 'line 37', 1]
athut : ['24.txt', 'line 27', 2]
atode : ['66.txt', 'line 86', 1]
atragen : ['73.txt', 'line 73', 2]
atreiben : ['70.txt', 'line 53', 1]
atreibende : ['59.txt', 'line 45', 1]
attaqui : ['25.txt', 'line 92', 1]
attestatumsolches : ['04.txt', 'line 3', 1]
attestatvon : ['50.txt', 'line 9', 1]
atyger : ['67.txt', 'line 111', 1]
auchdabey : ['31.txt', 'line 80', 1]
auchjüden : ['29.txt', 'line 58', 1]
auchschwarze : ['07.txt', 'line 39', 1]
auctionarii : ['04.txt', 'line 12', 1]
auctionen : ['22.txt', 'line 71', 4]
auctions : ['35.txt', 'line 99', 4]
auctorbringet : ['04.txt', 'line 53', 1]
